1,0,0,0,148,Player4,25,0
2,90,0,0,148,Player1,57,0
3,224,0,0,148,Player1,36,0
4,285,0,0,148,Player1,55,0
5,585,0,0,148,Player1,31,0
1,0,0,98,0,Player3,29,0
2,0,54,98,0,Player2,27,0
3,0,54,98,138,Player4,84,0
4,114,54,98,138,Player1,52,0
5,114,54,180,138,Player3,53,0
6,114,350,180,138,Player2,19,0
7,114,350,180,177,Player4,28,0
8,114,350,315,177,Player3,68,0
9,114,413,315,177,Player2,63,0
10,114,413,421,177,Player3,60,0
11,114,443,421,177,Player2,31,0
12,114,556,421,177,Player2,100,0
1,0,156,0,0,Player2,43,0
2,0,156,0,53,Player4,34,0
3,0,350,0,53,Player2,29,0
4,0,350,0,194,Player4,169,0
5,0,404,0,194,Player2,26,0
6,0,404,0,260,Player4,44,0
7,133,404,0,260,Player1,39,0
8,133,577,0,260,Player2,97,0
1,140,0,0,0,Player1,65,0
2,140,0,127,0,Player3,32,0
3,140,0,246,0,Player3,57,0
4,140,0,246,196,Player4,18,0
5,140,0,246,264,Player4,46,0
6,140,135,246,264,Player2,63,0
7,140,170,246,264,Player2,39,0
8,140,199,246,264,Player2,38,0
9,229,199,246,264,Player1,25,0
10,315,199,246,264,Player1,56,0
11,315,327,246,264,Player2,31,0
12,472,327,246,264,Player1,33,0
13,472,327,246,294,Player4,48,0
14,472,327,284,294,Player3,28,0
15,630,327,284,294,Player1,20,0
1,0,162,0,0,Player2,56,0
2,163,162,0,0,Player1,29,0
3,163,201,0,0,Player2,55,0
4,163,379,0,0,Player2,54,0
5,163,491,0,0,Player2,57,0
6,193,491,0,0,Player1,22,0
7,193,585,0,0,Player2,38,0
1,0,58,0,0,Player2,48,0
2,134,58,0,0,Player1,47,0
3,254,58,0,0,Player1,48,0
4,254,58,263,0,Player3,18,0
5,357,58,263,0,Player1,57,0
6,357,58,263,90,Player4,33,0
7,466,58,263,90,Player1,40,0
8,466,58,375,90,Player3,51,0
9,466,58,422,90,Player3,58,0
10,466,58,422,160,Player4,64,0
11,466,58,422,234,Player4,37,0
12,466,58,422,406,Player4,37,0
13,490,58,422,406,Player1,36,0
14,490,58,422,518,Player4,49,0
1,0,0,55,0,Player3,95,0
2,0,56,55,0,Player2,112,0
3,129,56,55,0,Player1,34,0
4,129,197,55,0,Player2,32,0
5,181,197,55,0,Player1,44,0
6,181,197,55,73,Player4,59,0
7,181,197,55,195,Player4,22,0
8,192,197,55,195,Player1,47,0
9,192,197,130,195,Player3,74,0
10,192,197,188,195,Player3,46,0
11,192,197,188,373,Player4,70,0
12,192,197,221,373,Player3,70,0
13,192,197,340,373,Player3,27,0
14,192,197,340,494,Player4,42,0
15,305,197,340,494,Player1,35,0
16,305,278,340,494,Player2,30,0
17,305,278,432,494,Player3,43,0
18,305,359,432,494,Player2,50,0
19,305,359,432,628,Player4,28,0
1,0,0,0,112,Player4,53,0
2,0,0,128,112,Player3,24,0
3,0,199,128,112,Player2,80,0
4,0,199,222,112,Player3,129,0
5,0,199,297,112,Player3,36,0
6,0,226,297,112,Player2,41,0
7,90,226,297,112,Player1,53,0
8,90,226,338,112,Player3,41,0
9,90,326,338,112,Player2,64,0
10,90,326,483,112,Player3,36,0
11,90,583,483,112,Player2,89,0
1,0,70,0,0,Player2,38,0
2,0,141,0,0,Player2,35,0
3,0,141,110,0,Player3,65,0
4,0,227,110,0,Player2,37,0
5,0,227,235,0,Player3,82,0
6,0,227,235,267,Player4,112,0
7,0,457,235,267,Player2,52,0
8,0,457,235,298,Player4,45,0
9,0,595,235,298,Player2,47,0
1,0,0,86,0,Player3,30,0
2,88,0,86,0,Player1,81,0
3,88,46,86,0,Player2,48,0
4,88,187,86,0,Player2,23,0
5,258,187,86,0,Player1,19,0
6,258,187,86,150,Player4,25,0
7,258,187,156,150,Player3,39,0
8,258,187,156,265,Player4,22,0
9,258,187,156,377,Player4,83,0
10,258,267,156,377,Player2,22,0
11,258,267,339,377,Player3,67,0
12,258,267,426,377,Player3,56,0
13,258,267,533,377,Player3,61,0
1,54,0,0,0,Player1,85,0
2,54,133,0,0,Player2,59,0
3,54,133,116,0,Player3,41,0
4,54,133,249,0,Player3,52,0
5,96,133,249,0,Player1,43,0
6,96,133,406,0,Player3,53,0
7,171,133,406,0,Player1,52,0
8,466,133,406,0,Player1,16,0
9,466,133,444,0,Player3,41,0
10,466,133,556,0,Player3,72,0
1,83,0,0,0,Player1,28,0
2,214,0,0,0,Player1,36,0
3,214,131,0,0,Player2,34,0
4,214,131,82,0,Player3,50,0
5,214,150,82,0,Player2,34,0
6,214,150,82,94,Player4,25,0
7,214,150,216,94,Player3,34,0
8,214,150,216,210,Player4,37,0
9,337,150,216,210,Player1,25,0
10,337,247,216,210,Player2,32,0
11,337,247,216,418,Player4,39,0
12,337,378,216,418,Player2,77,0
13,337,466,216,418,Player2,26,0
14,391,466,216,418,Player1,59,0
15,542,466,216,418,Player1,28,0
1,0,0,0,42,Player4,97,0
2,9,0,0,42,Player1,40,0
3,9,0,0,146,Player4,115,0
4,9,0,65,146,Player3,136,0
